"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Mbombela Campus","IT","I used to be a developer by profession, but no longer am","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;SQL;TypeScript","PostgreSQL","Cloudflare","Node.js;React","Wholesale","Bing AI;ChatGPT;You.com","Favorable","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;Swift;TypeScript","Clickhouse;MariaDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Firebase;Heroku;Hetzner","Angular;Django;Express;Fastify;jQuery;Laravel;NestJS;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI;WolframAlpha;You.com","Adrenaline;Mintlify","Employed, part-time;Student, part-time"
"Durban Campus","Computer Science","I am learning to code","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP","MySQL","Oracle Cloud Infrastructure (OCI)","jQuery","Wholesale","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL","Cloudflare;Heroku","Django;Express;FastAPI;Flask;Laravel;Node.js;React","Oil & Gas","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time;Employed, part-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;C++;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Cloudflare;Managed Hosting;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Ruby on Rails","Information Services, IT, Software Development, or other Technology","You.com","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python","PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Heroku","Django","Healthcare","ChatGPT","GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I code primarily as a hobby","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;JavaScript;MATLAB;Python;SQL","Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;SQLite","Digital Ocean;Firebase;Heroku;Netlify;Vercel","Django;Next.js;Node.js;React","Advertising Services","ChatGPT;WolframAlpha","GitHub Copilot;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed;Student, part-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;SQL;TypeScript","Dynamodb;Elasticsearch;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS)","Express;Fastify;Node.js","Other","ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Clojure;Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","Oracle","Amazon Web Services (AWS)","Express;Next.js;Node.js;React;Spring Boot;Vue.js","Legal Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","System administrator","Some college/university study without earning a degree","Bash/Shell (all shells);PHP;Python","Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;OpenShift;VMware","Django;Spring Boot;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript","Cosmos DB;Elasticsearch;H2;MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Microsoft Azure;Netlify","Angular;AngularJS;jQuery;React;Spring Boot","Retail and Consumer Services","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time"
"Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Educator","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Assembly;Bash/Shell (all shells);C++;GDScript;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lua;Perl;PHP;PowerShell;Python;Rust;Scala;SQL;TypeScript;VBA;Visual Basic (.Net)","Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Managed Hosting","ASP.NET;ASP.NET CORE;Express;jQuery;Laravel;Nuxt.js;React;Vue.js;WordPress","Financial Services","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Codeium;GitHub Copilot;Tabnine","Employed, full-time;Student, part-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","Symfony","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C;C#;C++;Delphi;Java;Kotlin;PowerShell;SQL","MariaDB;Oracle","Amazon Web Services (AWS)","jQuery","Financial Services","Bing AI;ChatGPT;Google Bard AI;Phind","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time;Employed, part-time"
"Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS)","Angular;NestJS;WordPress","Other","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server;SQLite","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;Node.js;React","Retail and Consumer Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;SQL","Elasticsearch;Microsoft SQL Server;MongoDB","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Python;Rust;SQL;TypeScript","BigQuery;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Microsoft Azure;Netlify;OVH","Laravel;Node.js;Phoenix;React;Svelte;Vue.js","Advertising Services","ChatGPT","Replit Ghostwriter","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Python;Visual Basic (.Net)","Microsoft SQL Server;PostgreSQL;SQLite","Microsoft Azure","ASP.NET CORE;Django","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C++;Java;JavaScript","InfluxDB;MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud;IBM Cloud Or Watson;Microsoft Azure","Angular;AngularJS;NestJS;React;WordPress","Higher Education","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net)","IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Google Cloud;IBM Cloud Or Watson","Django;jQuery","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time;Employed, part-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Python;SQL","BigQuery;Clickhouse;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Django;Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;Synk Code;Whispr AI","Not employed, but looking for work"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;PHP;SQL","MySQL;PostgreSQL","Cloudflare;Digital Ocean","CodeIgniter;jQuery","Advertising Services","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, front-end","Something else","GDScript;HTML/CSS;JavaScript;PHP;Python;Swift","MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Hetzner;Vercel","Angular;AngularJS;Express;Next.js;Node.js;React","Higher Education","ChatGPT","AWS CodeWhisperer","Employed, part-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL;PostgreSQL;Redis","Google Cloud","Svelte;Symfony","Oil & Gas","Bing AI;ChatGPT","Adrenaline;Mintlify","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Elixir;HTML/CSS;JavaScript;Ruby;TypeScript","MongoDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Netlify;Vercel","Express;Next.js;Node.js;React;Ruby on Rails;WordPress","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C++;Haskell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Heroku","Angular;AngularJS;Express;Flask;Laravel;Node.js;React;Vue.js","Insurance","ChatGPT","AWS CodeWhisperer;Tabnine","Student, full-time;Employed, part-time"
"Nelson Mandela Bay Campus","Data Science","I used to be a developer by profession, but no longer am","Database administrator","Something else","Bash/Shell (all shells);C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript","InfluxDB;MariaDB;Microsoft SQL Server;PostgreSQL;Redis;Solr;SQLite","Cloudflare","Express;jQuery;Node.js;WordPress","Financial Services","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;JavaScript;Python","PostgreSQL","Amazon Web Services (AWS)","Flask","Financial Services","ChatGPT","Codeium;Tabnine","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Kotlin;Rust","PostgreSQL","Amazon Web Services (AWS)","Angular;Spring Boot","Higher Education","ChatGPT","Favorable","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Perl;SQL;TypeScript","BigQuery;Firebird;H2;MariaDB;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure","jQuery;Spring Boot;WordPress","Information Services, IT, Software Development, or other Technology","WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;SQLite","Google Cloud;Hetzner;Microsoft Azure","ASP.NET CORE;Next.js;Node.js;React","Oil & Gas","Bing AI","GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C;C#;Fortran;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA;Visual Basic (.Net)","Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite","Firebase;Microsoft Azure","AngularJS;FastAPI;jQuery;Node.js","Other","ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Legal Services","Bing AI;ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lisp;Rust;Swift;TypeScript","Cassandra;Cosmos DB;Firebase Realtime Database;MongoDB;Redis;Snowflake;SQLite","Firebase;Google Cloud;Microsoft Azure","Angular;Express;FastAPI;Flask;jQuery;Node.js;Spring Boot","Wholesale","ChatGPT;WolframAlpha","GitHub Copilot;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript","Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;Node.js;React;Spring Boot;Vue.js","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;SQL","Oracle","Digital Ocean","jQuery","Oil & Gas","ChatGPT","Codeium;Tabnine","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Digital Ocean","Express;Nuxt.js;Symfony;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript","Cloud Firestore","Firebase;Google Cloud","ASP.NET CORE;Express;Next.js;Node.js;React","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Go;Groovy;Java;JavaScript;Python;TypeScript","H2;InfluxDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Managed Hosting","Angular;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;SQL","Microsoft SQL Server;Oracle","Microsoft Azure;OpenShift","ASP.NET;ASP.NET CORE","Higher Education","Bing AI;ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, front-end","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","MariaDB;MySQL;PostgreSQL","Digital Ocean;Heroku;Vercel","AngularJS;Express;Fastify;jQuery;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure;Netlify","ASP.NET;ASP.NET CORE;jQuery;Node.js;React","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, part-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;PHP;Python;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis","Digital Ocean;Vercel","Express;Node.js;Svelte","Retail and Consumer Services","ChatGPT;Phind;You.com","Codeium","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","SQLite","Amazon Web Services (AWS);Firebase","Angular","Retail and Consumer Services","ChatGPT;Phind;You.com","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS)","Django;jQuery;React","Advertising Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, mobile","Some college/university study without earning a degree","Java;JavaScript;PHP;TypeScript","MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase","AngularJS;jQuery;Laravel;Next.js;Node.js;React;WordPress","Healthcare","ChatGPT","Rubber Duck.AI","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Rust;Solidity;SQL;TypeScript","Cosmos DB;Couch DB;InfluxDB;MongoDB;MySQL;Oracle;Redis","Digital Ocean;Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","AngularJS;Drupal;Express;Flask;jQuery;Node.js;React;Spring Boot;Svelte;WordPress","Legal Services","Bing AI;ChatGPT","Replit Ghostwriter","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Groovy;HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);OpenShift;OpenStack","React;Spring Boot","Healthcare","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","GitHub Copilot;Mintlify","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Engineer, data","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;Java;Kotlin;Python;Rust;SQL;TypeScript","Elasticsearch;MariaDB;PostgreSQL;Redis","Google Cloud","Flask;Spring Boot","Healthcare","ChatGPT;Phind","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)","Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite","Hetzner","Angular;ASP.NET CORE;React","Financial Services","ChatGPT","Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor","Other","Bing AI;ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP","MySQL","Amazon Web Services (AWS)","NestJS;React","Oil & Gas","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;JavaScript;Kotlin;PHP;SQL;TypeScript","Cosmos DB;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite","Cloudflare;Digital Ocean;Microsoft Azure;Scaleway","AngularJS;ASP.NET CORE;Blazor;Laravel;Node.js;React","Higher Education","WolframAlpha","Codeium;Synk Code;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;Python;Solidity;SQL","Cassandra;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Netlify;Vultr","ASP.NET;ASP.NET CORE;Blazor;Django;Express;jQuery;Node.js;React;Remix;WordPress","Other","Bing AI;ChatGPT","Mintlify;Synk Code","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript","MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Angular;AngularJS;Django;FastAPI;Flask;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Vue.js","Insurance","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;TypeScript","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Heroku","jQuery;NestJS;Next.js;Node.js;React;Ruby on Rails;Svelte","Advertising Services","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;JavaScript;TypeScript","BigQuery;Couch DB;Couchbase;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;Express;jQuery;React;Spring Boot;Vue.js;WordPress","Healthcare","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;Python","PostgreSQL","Digital Ocean","Spring Boot","Oil & Gas","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot","Student, full-time;Employed, part-time"
"Mbombela Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","BigQuery;Dynamodb;Microsoft SQL Server;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Google Cloud","FastAPI","Wholesale","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL","Couchbase;MongoDB;PostgreSQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js;Spring Boot;Vue.js","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL","Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Django;FastAPI;jQuery","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Apex;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;VBA;Visual Basic (.Net)","BigQuery;Cassandra;Cloud Firestore;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Google Cloud;Oracle Cloud Infrastructure (OCI);VMware","ASP.NET;WordPress","Retail and Consumer Services","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
